,words,x,y
188,COVID,-4.265799,0.5344742
189,system,4.343067,1.6874288
190,('STAYAWAY'),-3.4658875,0.769788
191,was,12.961159,6.3404317
192,"published,",-15.85603,17.59811
193,Gazette,-4.31702,2.5520241
194,following,-2.2999055,7.393257
195,approval,-3.5137658,6.263464
196,Council,-6.3834863,1.8679056
197,Ministers,-3.7585666,-0.014025415
198,23,-6.8308797,2.5635774
199,July,-16.760813,21.193542
200,2020.,-7.307334,4.970507
201,Article,5.4427934,2.412709
202,1,-6.6879177,3.0537581
203,outlines,7.3250885,-8.667619
204,establishes,-0.26213107,-2.1003354
205,controller,5.8732452,3.3089633
206,regulates,2.3987212,-0.94955647
207,physician's,-1.018082,-1.0290253
208,intervention,-1.2440187,-0.9255919
209,system.,1.0474465,-0.114821725
210,2,-4.94505,-0.13206229
211,must,14.496067,-1.6309421
212,European,-1.7675713,5.761739
213,national,10.038467,0.011907877
214,legislation,4.3798943,-3.6238396
215,applicable,2.9157968,-3.9496324
216,protection,8.325073,11.333812
217,"data,",9.663103,0.016190602
218,namely,0.8277947,0.69797426
219,General,-0.013194445,-1.6005687
220,Protection,-9.335764,3.507692
221,Regulation,-1.1495297,-2.9397655
222,(Regulation,-4.265302,-4.6498137
223,(EU),-4.5034776,-2.7794108
224,2016/679),-4.484677,-3.2114422
225,('GDPR'),1.9895642,-1.5871359
226,58/2019,-1.6745828,-2.2854652
227,legislation.,0.3711433,-1.0593561
228,Directorate-General,0.16495796,-1.255895
229,Health,-4.4607677,2.029701
230,('DGS'),0.65999776,-0.86925936
231,entity,1.1133084,-0.8778071
232,responsible,7.10994,1.2829778
233,processing,16.3144,3.2641282
234,"COVID,",-1.6738306,0.56609106
235,terms,1.0243248,2.271837
236,legal,12.286481,0.19870803
237,"powers,",-0.60812604,0.980795
238,purposes,6.8269105,2.0849934
239,data.,6.160862,-3.5866332
240,"Law,",-3.2302747,-1.4258398
241,only,7.157721,-6.3098207
242,available,2.2756674,-1.6868191
243,"Portuguese,",-2.5562422,-1.3473561
244,Ordinance,-5.025271,-2.3047223
245,283,-4.0679135,-0.5183112
246,10,-9.459019,8.013315
247,2020,-13.040927,8.120354
248,Ordinance'),-5.5466747,2.139656
249,Official,-5.3737044,2.462408
250,Journal,-4.950285,0.9542729
251,"Union,",-4.2541847,-0.96176237
252,appointing,-3.6974776,-1.1539838
253,Luiz,-2.9362805,-1.6486564
254,Gustavo,-2.4085474,-2.0372865
255,Meira,-1.8359118,-2.1343977
256,Homrich,-1.2249837,-3.6243374
257,officer,-0.30992475,-1.78065
258,('DPO'),-0.74159753,-1.5736076
259,Supplementary,-2.660485,0.6679082
260,Agency,-4.168665,1.6591976
261,Ministry,-3.10438,-4.117202
262,specifies,0.3397986,-3.7951906
263,"that,",0.74519765,4.02196
264,his,0.42229253,-1.4551308
265,capacity,-0.94431657,-1.1802256
266,"DPO,",-1.3257318,-2.3413856
267,will,18.800676,0.5922137
268,act,-1.1292073,-1.6790403
269,designated,-0.40655008,-0.6550699
270,point,-1.1055044,-1.0033374
271,between,3.1350517,1.9845555
272,"controller,",1.5684136,0.5122874
273,"subjects,",6.7231493,-1.4871825
274,Brazilian,0.73232776,-1.071926
275,authority,-4.175018,7.9577723
276,('ANPD').,-0.44692123,-1.1499693
277,"Ordinance,",-1.0362221,-0.8416846
278,Greek,-4.0903482,-1.6091391
279,Supreme,-6.4254265,-2.305798
280,Court,-7.4258375,-5.8247404
281,15,-7.1443567,4.4763775
282,judgment,-5.24922,-2.2183309
283,controllers',-1.2339374,0.7869527
284,obligation,5.806629,5.765091
285,inform,3.802115,1.7157959
286,subjects,8.821979,-0.09761939
287,about,16.957905,6.1552844
288,their,19.074469,4.112207
289,banks,5.912781,-1.3116658
290,subsequent,0.50068986,-0.45114562
291,transfer,8.125344,3.6030118
292,debt,4.363496,2.486557
293,collection,11.040764,6.247349
294,societies.,-0.2778997,-1.02278
295,plaintiff,0.52864987,-2.5112112
296,had,6.767123,13.563999
297,taken,0.8252277,3.91353
298,loan,-1.2160052,-3.1146429
299,Bank,-7.363457,3.2690606
300,EFG,-0.99845845,-1.4678644
301,Eurobank,3.8725023,-2.8120902
302,A.E.,0.8518401,-2.5043697
303,"and,",6.886765,-2.2149525
304,further,8.796415,-3.605886
305,delay,4.7134233,-0.6446477
306,repaying,1.8545755,-3.4369516
307,"loan,",0.14515647,-2.3251114
308,transferred,4.749454,0.21084015
309,plaintiff's,-1.0905278,-2.6638508
310,including,19.14828,4.103624
311,amount,4.006511,-3.909662
312,"debt,",0.69692105,-1.9564356
313,name,2.80459,-1.7838477
314,telephone,7.33365,-1.942391
315,"number,",0.6370134,-1.4847263
316,Remedial,0.2292091,0.26454553
317,Services,-0.5207288,2.6026218
318,previously,1.9245269,1.5442985
319,informing,-2.520508,1.524856
320,them,6.0779204,6.9123487
321,transfer.,-0.80343086,0.32753792
322,More,-1.1252649,-5.7758803
323,"specifically,",0.5412917,-5.843186
324,argued,-2.0498161,-2.056977
325,completing,-1.8945735,-0.75062245
326,an,11.657156,15.109375
327,application,0.73736906,4.7694798
328,been,13.714522,4.496619
329,informed,0.2753601,2.0675547
330,given,3.1586921,1.2463431
331,clear,6.0892296,2.5441215
332,consent,12.315078,0.6813505
333,well,18.677862,-0.17944756
334,disclosure,10.308613,0.2301951
335,collaborating,0.53242755,0.23737225
336,Eurobank.,-1.2205933,-0.08238762
337,while,6.021077,-1.3076155
338,societies,0.85688573,0.022132335
339,"society,",0.12923841,0.4154574
340,providing,8.425692,5.8247
341,this,16.202038,-1.3774378
342,through,13.496856,-3.5812645
343,"application,",-1.104834,-2.5439577
344,satisfied,-3.1676855,-0.84018093
345,requirements,9.447309,1.1953723
346,right,6.8409343,8.263794
347,be,17.982437,5.9283557
348,"2472/1997,",-0.04549152,0.0042490275
349,pre-,-0.54296887,-0.38408026
350,law.,-0.49181095,-0.40982834
351,"Thus,",-1.0245626,-0.69668025
352,ruled,-2.7480714,-2.3166666
353,favour,-1.0446577,-0.7427238
354,"judgment,",-0.75369453,-0.6024653
355,"Greek,",-1.4229779,-0.7606437
356,Appeal,-3.8466785,-3.4745739
357,(Civil,-3.479282,-0.4880518
358,Division),-3.8568368,0.0699427
359,Appeal'),-2.954173,1.6678432
360,R,-2.314629,0.3488008
361,(on,-2.7592452,-0.08058321
362,Edward,-2.7015166,-1.3302662
363,Bridges),-2.470192,-1.2971486
364,(Appellant),-2.305482,-0.9973158
365,v,-2.7757533,-1.1716632
366,Chief,-5.056107,-1.9525328
367,Constable,-3.224916,-1.8368393
368,South,-3.501913,-3.5797114
369,Wales,-2.9954226,-3.2220662
370,Police,-3.0294392,-0.5725616
371,(Respondent),-3.0423536,-1.9237922
372,&,-5.9460135,1.3274944
373,others,-1.6439568,-0.7799549
374,[2020],-3.0298955,-1.8399184
375,EWCA,-2.8903048,-1.7436695
376,Civ,-2.9305887,-1.72692
377,"1058,",-2.635888,-1.5396856
378,overturning,-2.720273,-1.5925784
379,decision,-7.0670996,6.372289
380,High,-4.3859267,-2.9149725
381,Justice.,-2.1990001,-0.8411009
382,erred,-2.2965956,-2.6929624
383,concluding,-2.2389095,-2.8691518
384,Police's,-1.2757846,-2.0167205
385,('SWP'),-1.0742879,-1.5829066
386,interference,-1.5766693,-1.2001904
387,Bridges',-1.4277438,-0.77697676
388,rights,8.580115,3.8564758
389,8(1),-2.0142796,0.061256286
390,Convention,-2.387214,0.33089224
391,Human,-5.2688255,4.281625
392,Rights,-2.4470801,6.8039083
393,('ECHR'),-0.6212524,0.45249924
394,accordance,2.7132113,-1.039081
395,law,7.0179963,4.000402
396,8(2),-1.3729529,-0.67762357
397,ECHR.,-1.6321841,-0.57918745
398,held,7.288554,-1.5968676
399,comprised,-0.46617913,-2.6324675
400,primary,-0.91836506,-2.4661975
401,(Data,-1.5736853,-1.1188173
402,2018,-5.212876,1.1960795
403,"Act')),",-3.091367,-0.7489805
404,secondary,-2.452816,1.3523446
405,(the,-2.7819724,-1.4210626
406,Surveillance,-1.8987386,-1.8851639
407,Camera,-1.3415338,-2.6871326
408,Code,-1.2929982,-1.8600615
409,"Practice),",-0.317688,-2.781269
410,local,1.3411392,-2.9939125
411,policies,6.0853453,-3.2882018
412,promulgated,1.0127152,-1.3823537
413,"SWP,",1.1952204,-1.2158307
414,there,7.2266173,0.4245573
415,no,7.5294676,4.013799
416,where,8.886427,1.6633804
417,specific,6.557077,1.9226826
418,type,-0.15546595,-0.19792564
419,automated,-1.1042116,-0.5029947
420,could,11.310748,0.58883995
421,who,8.17384,3.4462051
422,put,-1.4084835,2.821267
423,watchlist.,-1.9330456,2.3795125
424,"result,",-3.2025008,-0.55563
425,too,0.8900045,0.01679265
426,broad,2.104778,0.64326084
427,discretion,1.4182799,0.8097764
428,afford,1.3107982,1.0445805
429,police,2.1509151,4.944719
430,officers,1.4195708,0.35350606
431,meet,4.4515624,0.08575516
432,standard,-0.14559568,9.581171
433,required,9.100439,0.8410011
434,SWP,0.13334928,-0.5390537
435,failed,3.634279,3.0087173
436,adequate,5.768427,5.318883
437,Impact,-3.2434237,-0.40472683
438,Assessment,-2.9718232,1.3623838
439,"('DPIA'),",-1.4934497,-0.68907464
440,Section,-2.8675325,0.75833297
441,64,0.5120058,-1.9995902
442,"Act,",0.3166255,-1.8656284
443,found,4.135219,-3.200991
444,DPIA,1.8011793,-0.81377685
445,written,2.1077993,1.4639792
446,basis,6.081561,5.389103
447,8,-3.3148873,2.763172
448,"infringed,",-0.4297517,-0.18386908
449,deficient.,-0.68911093,-0.578211
450,order,5.2975154,8.964374
451,"here,",-1.0953356,-3.1039793
452,summary,-2.033622,-0.97839636
453,UPDATE,-3.0198922,0.29039887
454,(11,-3.8967357,0.41944632
455,2020),-1.0539237,-0.030569872
456,ICO,-2.9005337,-2.253776
457,welcomes,-3.4507897,-3.2453215
458,Appeal's,-5.922524,-1.0193877
459,"judgment

The",-3.504611,-1.8495734
460,Information,-14.959134,5.791261
461,Commissioner's,-8.057054,0.24044877
462,('ICO'),-6.655944,4.115138
463,"statement,",-5.821948,4.1564546
464,welcoming,-4.101527,0.384651
465,provides,0.57204926,1.4304901
466,clarification,-1.0615968,2.2530212
467,live,-0.18316978,1.6359044
468,places.,-0.10125002,-0.7071479
469,useful,-0.34454942,0.13024747
470,step,2.18856,0.41841382
471,towards,1.8958503,-0.54300106
472,relating,4.2407174,5.43742
473,surveillance,0.46679404,0.41842756
474,Financial,-6.1926265,-1.358206
475,Industry,-5.325636,0.9084438
476,Regulatory,-7.3356476,1.2532613
477,Authority,-11.303882,4.310137
478,('FINRA'),-4.5277157,1.6154299
479,"announced,",-14.946104,18.828453
480,along,-4.211203,3.8719335
481,Securities,-2.8271503,-0.2345944
482,Exchange,-2.5607226,-0.08891294
483,('SEC'),-1.9443961,-0.5486942
484,Commodities,-0.7858166,-1.8708937
485,Futures,-1.5828881,-1.4476199
486,Trading,-3.7551801,0.72558546
487,('CFTC'),-2.250029,-0.26692414
488,enforcement,3.8787897,3.347342
489,action,-0.8629876,4.315876
490,totalling,-4.1731367,0.3404448
491,$38M,-2.4824665,0.119139865
492,anti-money,-2.6952147,4.4689264
493,laundering,-2.6010702,3.882474
494,('AML'),-2.519954,0.82760465
495,failures,1.3580436,-0.39606956
496,against,-1.4260864,11.63635
497,Interactive,-0.5946698,-3.9066994
498,Brokers,0.075692005,-3.281144
499,LLC.,-1.8882151,-0.83193046
500,FINRA,-4.673529,-7.3234673
501,fined,-4.9523787,2.5318294
502,$15,-1.1394364,-0.2385131
503,million,-3.641991,5.1897697
504,widespread,-1.5693022,-0.63604677
505,firm's,-1.1947176,-2.3379474
506,AML,1.6864035,-4.0576835
507,program,-3.3413978,-1.3127645
508,part,5.089644,-3.313742
509,settlement,-2.4946322,-3.1835663
510,-,-2.3353293,-4.6451697
511,Letter,0.40066934,-6.971553
512,"Acceptance,",-3.0491211,-2.4071798
513,Waiver,-3.199203,-2.084882
514,Consent,-3.3444307,0.5090575
515,AWC'),-2.7576735,-0.4313294
516,requires,-0.49395546,-0.30899778
517,certify,0.65418094,-2.2856789
518,implement,4.156702,6.579915
519,third-party,4.3150005,1.2842052
520,consultant,-0.73964095,-0.6436466
521,remedy,2.0742714,-0.9318502
522,failures.,0.65741163,-1.0996562
523,SEC,-2.719314,-4.7755857
524,Order,-4.0466385,-4.6931562
525,finds,-1.3657863,-2.4372716
526,violated,2.0834618,-4.200632
527,financial,5.44903,3.452737
528,recordkeeping,-0.2717069,-2.1637964
529,reporting,4.2369657,-1.7335997
530,provision,2.9627175,1.6370643
531,federal,1.6627555,1.5979469
532,securities,-0.45922428,-1.6009401
533,rule,2.3594253,-1.2849152
534,fines,-0.39101222,-0.20606449
535,$11.5,-1.8564603,-0.058693808
536,million.,-2.4027467,-1.0549638
537,"Finally,",-0.48799676,-7.0517926
538,CFTC,-1.4571716,-1.527277
539,charging,-1.372786,-0.75700974
540,violation,4.4648676,0.19702938
541,42.2.,-0.26595068,0.23286662
542,(requiring,-0.4154247,0.25209355
543,registrants,-0.9581305,0.21279196
544,comply,1.4002608,-0.17815615
545,Secrecy,-1.4891491,-0.10677489
546,1970),-1.957221,-0.24248993
547,marks,-1.8341267,-0.030598586
548,first,3.2155828,4.167231
549,kind.,-1.3302126,0.6941041
550,Jessica,-3.3314404,-1.7109765
551,"Hopper,",-3.6308525,-1.9983681
552,Executive,-7.6492996,-2.9281852
553,Vice,-3.895827,-2.0936577
554,President,-3.720963,-2.062353
555,Head,-3.1397047,-1.4760264
556,"Enforcement,",-2.7926967,-0.74332595
557,"stated,",-3.36373,-0.080984734
558,"""Today's",-1.5888623,-0.22408769
559,reminder,-0.50746244,-0.9635782
560,member,1.8685932,0.15083286
561,firms,0.8381723,1.0568477
562,tailor,1.0302182,-2.1943505
563,programs,2.0841153,-2.160533
564,firms',1.2471535,-2.0636299
565,business,6.3337927,-2.3596046
566,model,0.36091173,-2.1561553
567,customer,9.680293,1.776242
568,"base,",-0.5390272,-1.3968296
569,also,11.360075,0.16995901
570,dedicate,-0.30538824,-0.6543706
571,resources,-0.013280418,-0.43031952
572,commensurate,0.26320925,-0.73697937
573,growth,-0.19541758,-1.695442
574,lines.,-0.46821895,-1.2596248
575,continue,2.9020593,2.9984272
576,take,7.164023,-1.7540191
577,steps,5.5711517,-2.3202121
578,ensure,10.995411,6.436469
579,monitor,3.1519654,-0.17802435
580,"for,",1.712042,1.1937026
581,detect,3.6816928,3.946839
582,suspicious,1.0437175,-0.39241937
583,"activity.""",-1.0791107,-0.14417192
584,AWC,-1.1562772,-1.3095154
585,Ombudsman,-8.088005,1.6258303
586,Deputy,-7.6912513,-1.7991276
587,"Ombudsman'),",-3.3265538,-0.12286288
588,ordered,-2.9969113,3.574774
589,Euroclear,-2.6191924,-0.030149546
590,Finland,-2.4413779,0.74947804
591,Oy,-2.5645037,2.543755
592,modify,-1.530074,1.3937535
593,shareholder,-1.5803432,2.407662
594,register,0.6700526,2.938064
595,activities,4.80139,1.4093088
596,compliance,7.849417,-0.2686564
597,requirements.,1.6487846,-0.5382734
598,company,2.3233032,2.179834
599,"disclosing,",-0.32277057,-1.1416593
600,via,3.932044,0.111463115
601,direct,4.4738503,6.89639
602,marketing,4.2417727,6.9424267
603,"purposes,",3.2000282,-0.33432755
604,obtained,-0.7682214,0.0033824767
605,limited,2.2085066,-1.5905036
606,cooperatives,-0.16857423,-1.9420986
607,highlighted,9.807934,-8.829501
608,independently,-0.7038475,-2.934476
609,decided,-0.41142452,-2.33927
610,upon,-0.3902217,-2.2767863
611,constituted,-0.3825587,-1.1204424
612,instead,-2.838394,0.86330163
613,processor.,-1.0900639,0.04241625
614,one,2.4949965,2.2060807
615,lawful,3.0378792,-0.3131134
616,methods,1.779203,-0.52845824
617,disclosing,0.3382398,-0.21427454
618,shareholders,0.40214643,-1.2140766
619,"thus,",4.898967,-1.6197331
620,fair,1.2508632,-1.1031153
621,('GDPR').,-0.77139693,-0.51395327
622,considered,5.447191,0.90836096
623,duty,-0.90141016,1.2192235
624,merely,-1.6007397,-0.017497089
625,mentioning,-3.101789,1.0839301
626,website,-3.4787588,5.9816494
627,sufficient,7.505492,6.500571
628,have,17.384996,-3.8361907
629,exercised,2.4702818,-1.4977038
630,object,0.71450096,-0.86410916
631,marketing.,0.7991246,0.2209898
632,"Therefore,",0.030632274,-1.2328241
633,change,-0.11189308,2.016462
634,practices,6.1075478,5.5676036
635,announcement,-1.6004462,0.9680133
636,Ombudsman's,-1.3247454,-0.6203431
637,both,4.378054,0.9463984
638,Finnish.,-0.5623375,-0.610335
639,6,-11.601074,12.456774
640,World,-4.987389,-0.01591715
641,Acceptance,-3.427511,0.5960648
642,Corporation,-5.0897346,2.9990673
643,"('WAC'),",-3.3544843,0.25226697
644,agreed,-1.6142014,1.8675587
645,pay,-2.3456519,-0.14299777
646,$21.7,-1.6751462,-0.6248317
647,resolve,-0.060791355,-2.5713534
648,charges,-0.58766216,-2.251792
649,Foreign,-1.1963518,-2.6151824
650,Corrupt,-1.5421287,-2.2529671
651,Practices,-2.055643,-2.2726905
652,1977,-2.7352257,-1.4028804
653,('FCPA').,-2.3398585,-0.9859191
654,Order'),-3.4265633,-0.3487611
655,states,0.47077298,-3.6464443
656,at,8.925243,6.626614
657,least,-2.5476177,0.26021013
658,December,-0.540799,4.1543093
659,2010,-2.2277124,0.24762164
660,June,-5.305273,5.369801
661,"2017,",-2.6935704,0.42621118
662,WAC's,-2.7097259,-1.6238663
663,former,-1.6706288,1.4889007
664,Mexican,-2.3197837,0.950151
665,subsidiary,-3.4655638,-1.4003341
666,bribes,-0.1365994,-0.109168254
667,$4,-1.2868527,0.3425952
668,government,4.556906,-0.22609344
669,union,-0.4016854,-0.5829929
670,officials,0.08652642,-0.4076283
671,secure,3.9308467,-1.2315602
672,ability,0.48366687,1.9085144
673,make,10.5390005,4.111421
674,loans,1.3334583,-1.1134572
675,employees,9.237362,-1.2242521
676,said,0.22505543,-1.236882
677,were,13.868617,-2.2374296
678,paid,-1.8609723,-0.68169975
679,timely,2.4835958,0.9874138
680,manner.,-0.6492784,1.0070056
681,"Furthermore,",1.5502933,-13.675056
682,details,6.3753033,-3.7012239
683,lacked,-0.046673253,-1.796003
684,internal,10.940686,3.4068067
685,accounting,1.1079323,0.3249946
686,controls,4.1912174,2.6828308
687,payments,2.8039916,0.33086863
688,management,4.8942494,6.5071154
689,appropriate,4.7271743,-1.4603229
690,tone,-0.6851672,-0.75494367
691,relation,4.6594,2.5191047
692,audit,-0.52968806,0.5882642
693,compliance.,-0.39939177,0.28871796
694,"Order,",-1.0183398,-1.3774525
695,specified,-0.07097646,-1.4174612
696,WAC,-1.3959216,-0.92833585
697,consented,1.1829817,0.6574738
698,cease,-4.608313,3.7313204
699,desist,-4.3625703,3.0953398
700,violating,-0.8422748,2.3777044
701,"anti-bribery,",-0.93312037,-1.0130914
702,books,-0.90404075,-0.7393956
703,records,4.8035164,1.1150297
704,provisions,-0.6237039,0.8131007
705,FCPA.,0.381711,-0.8225335
706,Danish,-0.58188766,-0.08405635
707,('Datatilsynet'),-3.2904994,0.9283182
708,updated,-5.946478,2.8088472
709,Guidance'),-2.752068,5.8010206
710,30,-3.5781126,10.911993
711,Datatilsynet,-0.9381361,-8.359778
712,Guidance,1.039151,-9.914222
713,clarify,-1.1027985,-0.07695837
714,list,1.223292,1.8299211
715,state,2.1900396,0.54671854
716,categories,9.025612,-2.8906054
717,question,2.2543068,-3.0130908
718,relates,-0.9659502,-2.690262
719,"to,",2.8696108,-2.0918446
720,additionally,-0.8903027,-0.4928421
721,contain,6.014384,-1.9132432
722,link,1.4313142,0.56038356
723,processed,5.017158,-1.8644133
724,individual,6.172816,-0.72668475
725,concerned.,-0.92986727,-1.0174165
726,if,14.100447,0.20272039
727,disclosed,5.484542,0.016147723
728,connection,0.85968316,1.6934261
729,"activity,",0.24095747,-0.03210543
730,recipient,-1.1570482,-0.72575617
731,question.,-1.1548599,0.35048166
732,Danish.,-0.8979046,-0.6279221
733,Federal,-8.552517,5.4382625
734,Monitoring,-2.9679596,-1.1934023
735,Service,-2.561513,2.9975061
736,Russian,-6.0992074,1.2183461
737,Federation,-5.3903513,2.0005195
738,('Rosfinmonitoring'),-3.5346062,1.2309026
739,5,-13.704192,12.45975
740,entered,-4.74138,2.2925284
741,into,4.327795,3.781677
742,cooperation,-1.4600816,1.9435031
743,agreement,-0.63504505,3.137082
744,Deposit,-0.85219425,-0.13500836
745,Insurance,-0.73919964,-0.5017204
746,increase,0.42073867,0.17654367
747,efficiency,-1.4251745,0.2153034
748,laudering,-1.4915073,-0.19692384
749,sphere.,-0.4689641,-0.22245789
750,involves,-0.29420215,-1.4607558
751,exchange,2.0841112,-1.4026504
752,work,7.5603805,2.3106573
753,"experience,",1.3929781,-1.4991933
754,development,7.2185245,3.9865825
755,teaching,0.544789,-1.01625
756,"materials,",1.5638179,-0.0967255
757,"programs,",0.6056088,-0.6014256
758,violations,2.0840888,-1.0872651
759,Italian,-0.5360321,-1.1953706
760,('Garante'),-1.5781687,0.53256327
761,apps,3.0927265,4.0625486
