,words,x,y
186,Media,-3.684849,-1.1377438
187,&,-10.338101,-5.74282
188,Sport,-3.4216442,0.3001771
189,('DCMS'),-3.4485312,0.7279859
190,explanatory,-2.4430666,1.3787107
191,memorandum,-3.9968886,0.90460694
192,Memorandum'),-2.6463268,-0.49106738
193,You,-1.6130221,2.071936
194,can,16.24629,8.072368
195,read,-1.1881723,-0.81572807
196,press,-0.63553065,-0.5133049
197,releaase,-1.377391,0.31416848
198,"here,",1.4564252,-0.8870699
199,Resources,-0.72053003,0.576876
200,Memorandum,-1.5044614,1.0328786
201,download,-0.7028752,-2.3297148
202,template,-0.3150618,0.85922235
203,here.,-1.4542713,0.85302067
204,Italian,-0.61137474,-2.3024008
205,protection,10.128373,-14.509615
206,authority,-3.404751,-5.021077
207,('Garante'),-2.6506474,-0.98481953
208,it,8.663088,5.7890615
209,launched,-4.8854523,8.8403845
210,investigation,-3.5908616,11.85175
211,National,-5.690768,-10.046538
212,Institute,-2.6165478,-3.881739
213,Social,-2.6883855,-3.2948277
214,Security,-5.9107966,-11.091062
215,('INPS'),-0.9671651,-0.66179705
216,methodology,0.18526597,-0.27456558
217,followed,0.52903366,-1.210396
218,processing,15.378696,-4.3379297
219,beneficiaries',0.45447206,-1.1155403
220,news,2.8117137,-3.3702905
221,disseminated,-0.08311822,-1.1821442
222,COVID-19,7.705633,-5.884432
223,('Coronavirus'),5.6312613,-3.6683347
224,bonus,-1.6318619,-0.5474652
225,payments.,-1.340869,-0.3770881
226,"Furthermore,",2.952953,18.138805
227,Garante,-2.3942943,6.3806987
228,sent,2.786921,6.9311748
229,letter,-7.560564,1.2890562
230,INPS,-1.0132798,0.7629925
231,asking,3.0900846,1.0475149
232,questions,1.9735496,7.0325055
233,carried,6.6124625,-1.1275582
234,out,10.9664545,-6.8874083
235,personal,16.004345,-8.418029
236,interested,-1.1686187,-0.7995914
237,parties.,0.2321059,-2.0496087
238,clarified,-3.7233436,7.0997725
239,"covered,",-3.0867329,2.480564
240,among,7.2655544,4.9049163
241,other,14.079978,-5.010253
242,"things,",12.255885,-3.634427
243,origin,-0.2594226,-1.5454048
244,types,1.8880221,-0.28262654
245,"processed,",4.8768697,-2.6973448
246,methods,3.2442842,-5.8904395
247,was,18.400759,2.0888164
248,"out,",3.0653174,-0.05287491
249,comparison,-0.6118001,-2.745488
250,applicants,-0.8120137,-3.4393523
251,beneficiaries,-0.15039825,-2.5094771
252,"bonus,",0.24013636,-1.3145843
253,scope,1.5495547,-6.554828
254,any,17.883583,3.3351312
255,communications,6.9621997,-0.83770376
256,parties,6.6928787,-1.7105304
257,data.,5.808261,-10.106211
258,Inspectorate,-5.425185,-3.2042167
259,6,-8.256479,0.23747575
260,"opened,",-2.481295,1.9152843
261,5,-11.448777,2.4045718
262,Imperal,-4.244078,2.0218627
263,Varad,-4.6104217,1.1193923
264,OÜ,-2.3519635,-0.53007346
265,breach,3.9929218,-2.7280383
266,their,18.765251,-12.233677
267,website,3.8657513,-0.61318004
268,led,2.8779123,1.3390287
269,leak,0.3930372,-2.2641697
270,"27,000",0.4863715,-0.84446406
271,customers',3.350529,-2.1312594
272,email,6.320069,-0.93820995
273,addresses,1.5959493,1.2160778
274,passwords,4.936617,-0.12603118
275,May,-3.0716908,-1.5686619
276,2019.,-0.90886986,1.2437767
277,DPI,-2.5524123,2.9200487
278,outlined,-1.3541911,15.965947
279,notified,0.4238932,6.8490014
280,28,-5.7301807,-2.627825
281,following,-5.9491663,-7.140589
282,discovery,-2.609623,0.3334228
283,same,4.409094,-4.6671624
284,through,13.74559,7.930099
285,CERT.EE.,-1.1979574,0.16053934
286,"that,",5.85924,4.0186396
287,as,15.375649,-7.9304986
288,received,2.7647917,5.674443
289,only,13.96264,4.395768
290,from,18.14228,-1.3272563
291,"Varad,",-0.53271407,0.43506074
292,investigating,0.6572282,2.871317
293,extent,5.4241056,1.3495771
294,invasion,-0.5217561,-0.53511435
295,privacy,14.235948,-6.2952294
296,resulting,3.5483606,0.50744945
297,breach.,0.2609056,-0.6942562
298,"Specifically,",1.3210075,7.449282
299,incident,4.019103,-1.170693
300,resulted,5.025086,1.335229
301,threat,5.314277,-0.8373419
302,potential,8.206024,1.8074213
303,fundamental,5.205146,-5.2090445
304,rights,13.167446,-7.8243732
305,freedoms,-0.9936647,-0.0941037
306,"individuals,",4.9115195,1.3909818
307,should,18.84455,6.4540205
308,have,20.805008,5.643956
309,submitted,-3.5626826,6.601065
310,report,-5.1668386,3.1274552
311,summarising,-0.3257324,1.714156
312,circumstances,4.3271627,1.0516669
313,no,13.306646,5.076097
314,later,0.7616752,2.3225305
315,than,7.060566,-0.06288925
316,72,-1.7137957,1.2198964
317,hours,-1.9270735,1.490057
318,after,7.058699,8.164595
319,discovery.,-1.192133,1.518479
320,Authority,-12.187284,-6.7924085
321,('KVKK'),-2.9832902,-0.8783223
322,statement,-6.8654666,-0.20571096
323,importance,1.8955419,-5.7072296
324,completing,-1.5923198,0.40043202
325,introduction,0.35275143,-3.956078
326,form.,-1.3126292,-1.0452714
327,KVKK,-1.7910739,3.252201
328,per,-4.1474147,-0.22099407
329,15(3),-2.1863127,-0.85077757
330,"6698,",-1.1417553,-3.7213435
331,controllers,3.198232,-1.1589891
332,are,26.128202,-3.3027725
333,obliged,0.24067894,-1.8787602
334,communicate,1.9996363,-0.3304783
335,within,8.784722,-1.4744576
336,days,-2.0156186,2.09582
337,information,16.773212,-6.9957285
338,documents,3.4585643,-0.3841864
339,related,13.371318,-4.6507597
340,examination,0.10620669,-0.13630417
341,Board,-4.3233886,-5.766093
342,"requested,",-0.2903497,3.0390177
343,"enable,",-1.1832883,2.9882345
344,"necessary,",1.5886377,2.72601
345,on-the-spot,-1.7196193,1.2391536
346,examination.,-1.8460714,0.74324346
347,required,8.360344,-2.6819077
348,fill,0.47160304,-2.2171187
349,"form,",1.4844991,-0.019455153
350,but,12.9006,4.350724
351,some,8.979096,4.6969805
352,form,1.4233054,-0.010803652
353,correctly,-1.4850478,0.92845196
354,document.,-0.6326356,0.6833206
355,Privacy,-0.013547381,-14.190715
356,('PPA'),-3.265782,-1.3176948
357,9,-5.9138956,-0.13574727
358,establishing,3.1287677,-3.2294726
359,forum,-0.02509353,-0.45499778
360,discussing,0.24540605,-1.3042831
361,issues,3.464071,-2.4946308
362,private,6.734087,-6.1254196
363,sector.,-0.048242908,-1.1959074
364,PPA,-1.1749554,3.6194537
365,intends,-0.75829345,2.0172625
366,hold,-0.88774157,1.2180384
367,first,3.2787457,2.819482
368,meeting,1.392822,1.0139673
369,lawyers,-0.63792175,-0.4920746
370,sector,7.1736355,-7.993564
371,working,2.2558267,-3.663531
372,field,2.1548376,-2.734791
373,security,20.194902,-12.894282
374,September.,0.15662724,-0.9971288
375,Proposals,0.19451123,-0.1361278
376,ideas,0.3725908,-0.04235697
377,topics,2.543688,1.4259721
378,discussed,-0.7981491,-0.07784339
379,[email,-2.029777,2.1158605
380,protected],-2.9484463,1.8844163
381,16,-4.272341,2.5322578
382,2020.,-8.383459,-0.41428748
383,measurement,-2.1063912,1.1936779
384,body,-1.1134952,-0.28674397
385,temperature,1.6386766,3.3062923
386,"workers,",-1.4587612,-0.67201
387,clients,-0.71342,-0.015580841
388,minors,1.5316132,-1.5858784
389,when,17.380573,-0.12947272
390,entering,0.80799973,-0.05797672
391,certain,10.791994,-1.579388
392,premises,0.9215683,-0.54030544
393,"workplaces,",-0.18923871,-0.46662647
394,restaurants,-1.5667953,4.015393
395,schools.,0.5795387,-0.1914475
396,delivered,-0.5688543,0.9946572
397,Opinion,-1.1012584,1.7260371
398,"whether,",-0.6934765,1.6449723
399,employers,-2.1172493,1.3437437
400,entitled,-0.055295087,0.03163488
401,employees,7.0840254,3.4411302
402,"checks,",-0.44176582,-0.40283448
403,rather,1.9020488,-3.7518651
404,refer,-0.6177879,-1.0150547
405,them,7.83795,0.62555593
406,medical,3.5447447,-3.3218946
407,"examination,",0.5377715,0.55640954
408,whether,11.865062,7.336534
409,workers,-0.45693886,1.8925085
410,constitutes,0.5759919,1.4516143
411,valid,2.5858607,-2.1974134
412,temperature.,-0.71974653,-0.8617266
413,measuring,-0.9434204,3.0192606
414,specific,8.697994,-1.5312121
415,without,13.102934,-5.7924304
416,identification,2.9613662,1.517189
417,does,7.760252,-0.5415989
418,constitute,0.88390714,3.2495012
419,"and,",5.3218393,-0.98712796
420,"thus,",3.915141,-2.394619
421,fall,-0.7948098,1.2325969
422,under,14.786159,-16.767893
423,PDPL').,-1.6529359,0.2074732
424,preventive,-0.70010716,-0.10936901
425,measure,1.8987126,6.432306
426,aim,3.0795684,-3.6602883
427,preventing,2.330431,-4.2709904
428,spread,0.8942059,-2.6362727
429,"('Coronavirus'),",-0.101754576,-0.9803382
430,well,16.90653,-12.891452
431,implementation,4.5758348,-3.1583998
432,communicated,-0.46877107,2.7165723
433,prior,7.390678,1.5624682
434,individuals.,0.28198096,0.80560917
435,Computer,-2.7836282,-5.356083
436,Resource,-2.0247712,-2.033215
437,Center,-6.9363627,-7.940703
438,('CSRC'),-0.8906203,-1.6128838
439,Standards,-3.7080598,-3.1901965
440,Technology,-6.685859,-4.0892267
441,('NIST'),-4.103776,-1.570646
442,11,-13.180069,1.344055
443,Special,-9.958172,-0.29332498
444,Publication,-8.821683,-0.801364
445,800-207,-6.5147133,2.848176
446,Zero,-4.899558,-0.7911394
447,Trust,-4.7590327,-1.6058155
448,Architecture,-3.9270663,-0.2629409
449,('SP,-3.4462092,0.09486611
450,"800-207'),",-3.129693,0.3230241
451,call,-3.0525913,-0.72873914
452,comments,-2.3393996,0.019499317
453,SP,-3.8577023,3.132357
454,notes,2.115102,18.369436
455,'zero,-2.5470963,3.1800644
456,trust',-2.3058853,3.0519295
457,term,-2.3709834,3.0074615
458,evolving,-0.751081,2.3334506
459,set,3.0890727,3.1502564
460,cybersecurity,9.755237,3.2702675
461,paradigms,-2.1396413,0.6272536
462,move,-0.975539,-1.2103177
463,defences,0.48408243,1.2296656
464,"static,",-2.0798912,-1.2236205
465,network-based,-2.300355,-1.6896311
466,perimeters,-2.0722413,-2.2328258
467,focus,0.48169118,-0.33989117
468,"users,",-0.15436159,1.3906207
469,"assets,",2.101449,-2.4182694
470,"resources,",0.93236095,1.7142001
471,response,3.6886523,4.511112
472,enterprise,0.5386745,3.4650135
473,network,2.4638672,6.8421707
474,trends,1.4626367,2.295904
475,include,9.759262,1.6764144
476,remote,-0.5827703,0.7279302
477,bring,-0.26923504,0.38637632
478,your,-3.7497447,-3.7107592
479,own,6.1028733,-0.6738186
480,device,2.3797388,-4.159699
481,"('BYOD'),",-1.3720435,-0.18402451
482,cloud-based,-1.6288496,0.65597117
483,assets,0.20684126,0.65940285
484,located,-0.11354449,4.1789956
485,enterprise-owned,-3.6648655,1.5791807
486,"boundary,",-3.2839704,0.47299862
487,focusing,-1.0469569,-2.3809166
488,protecting,2.3448503,-1.347418
489,segments.,-1.3304017,0.58272403
490,As,-4.343635,4.7173214
491,"such,",-3.0720794,4.8313694
492,"outlines,",-2.7043283,1.4155836
493,abstract,-1.5990192,0.89262635
494,definition,1.3346298,-0.65612227
495,zero,-2.3834372,2.8143656
496,trust,-2.7603781,2.752106
497,"architecture,",-1.1873839,-0.0034515813
498,gives,-0.7880522,0.15785356
499,general,2.9798827,1.0992684
500,deployment,-0.09765125,2.0475168
501,models,-0.20283672,0.3909704
502,use,14.369707,-9.973999
503,could,11.670107,6.7560472
504,improve,5.377122,1.013849
505,enterprise's,-0.80320394,0.5147825
506,overall,2.4094949,1.2469918
507,technology,7.361219,-1.8488165
508,posture.,-0.37945104,-2.4400516
509,,-4.901752,-3.1481392
510,Behavioral,-2.094904,-2.6508756
511,Health,-8.549867,-9.997166
512,"Network,",-2.1489367,-1.1653266
513,Inc.,-6.3898654,2.1148612
514,('BHN'),-3.394264,-0.15486693
515,"notified,",-7.775416,-1.2916197
516,27,-11.660904,-2.6883404
517,July,-14.245803,-1.1634734
518,U.S.,-5.592363,-1.5290084
519,Human,-8.570858,-5.1262407
520,Services',-3.982302,-3.5077162
521,Civil,-2.7587786,-4.6431856
522,Rights,-3.9460077,-6.825755
523,('OCR'),-1.2857695,-2.6292899
524,affecting,3.9667509,-2.3808753
525,"129,571",-0.24562417,0.5556742
526,"patients,",2.9207206,0.78851485
527,OCR,-2.1039276,4.2674227
528,now,4.576742,3.8420784
529,investigating.,-0.35018668,2.2646513
530,BHN,0.60602725,5.485374
531,virus,-0.65586126,-0.08195676
532,occured,-0.9233105,0.0219167
533,prohibited,-1.4420695,0.38101768
534,access,19.584562,-3.0045958
535,BHN's,-0.502261,0.06362632
536,files.,0.21126145,-1.6430006
537,"investigation,",-0.35126585,5.363751
538,determined,-1.592494,6.72671
539,unauthorised,3.7462938,0.9859909
540,actor,-1.7778939,3.4468117
541,placed,-1.9996227,1.7241427
542,malware,-0.9122509,1.37083
543,environment,2.0722613,0.6452783
544,disrupted,-0.029424813,0.35772407
545,operation,3.037214,-4.9616637
546,systems.,1.4788767,-1.7678915
547,around,-0.052096512,-0.9970561
548,gained,0.26473904,1.2412615
549,systems,10.751936,-7.112528
550,between,8.476897,-12.060313
551,26,-3.370556,-3.7840667
552,were,15.022646,7.3396664
553,present,2.782681,-0.4546806
554,affected,7.685182,7.5486917
555,"included,",0.60456675,-0.039378695
556,"names,",4.7527237,-2.0902722
557,"addressess,",-0.8138493,-1.9438454
558,date,0.4363874,-3.041879
559,"births,",-1.1169645,-2.2763495
560,social,2.5305214,-3.7222593
561,"numbers,",-0.015876362,-6.01641
562,medical/diagnosis/treatment,-0.9773419,-1.7325578
563,"information,",7.7424197,-4.5088477
564,and/or,2.4008486,-1.1496347
565,health,15.4741955,-6.424417
566,insurance,1.4724088,0.5219548
567,claim,-0.77725697,0.4117126
568,information.,1.5116851,-3.361309
569,Directorate,-1.2698327,-2.1596944
570,('DZLP'),-1.9020011,-0.8620049
571,legality,1.148737,0.6045002
572,activities,9.100696,-5.094198
573,undertaken,0.27589247,0.6934094
574,Ministry,-1.7143638,-4.414655
575,Education,-0.78079724,-1.8821363
576,Science,-1.9492344,-2.7453368
577,Ministries'),-2.9417176,-1.9415103
578,hacker,-3.0671594,-1.7747725
579,attack,-2.834732,0.810481
580,websites,-1.2752863,-0.93606955
581,23,-11.451829,-1.4660215
582,DZLP,-2.400227,1.3285062
583,due,4.0409856,3.8196285
584,fact,5.8333683,10.920028
585,Ministries,0.26179686,1.6692451
586,failed,5.033399,3.6352541
587,notify,0.23778313,4.3615127
588,accordance,6.1613464,-4.848904
589,37(1),-0.8141718,-1.8612797
590,Law'),-4.0651436,-2.9379344
591,"breach,",-2.2003045,-0.6884446
592,ex,-0.91529924,1.7730417
593,officio,-0.5930884,1.9745765
594,investigate,3.6030648,2.571094
595,complies,-0.6270331,-1.192392
596,provisions,0.8365117,-6.2672396
597,Law.,-0.6572301,-0.43255198
598,Central,-6.5117154,1.2252289
599,Bank,-6.6087656,-3.8218865
600,Russian,-5.350664,-5.6344404
601,Federation,-5.609164,-6.05487
602,Bank'),-4.2320023,-0.90875953
603,"released,",-14.757604,-2.4590535
604,survey,-3.1932483,1.3844501
605,bank,1.5205405,-3.0247056
606,"clients,",-2.2443473,0.2474266
607,"citizens,",-1.0593548,-0.1721208
608,company,1.2298605,-0.8320688
609,representative,2.5706866,-2.5083916
610,assess,7.388238,-3.9200726
611,level,5.2931175,-5.7573867
612,Survey').,-1.1576352,-1.3578837
613,understand,2.8398688,-1.1721287
614,what,6.7982936,3.6046476
615,effective,6.166319,1.3833505
616,actions,3.6434667,0.32819048
617,undertaken.,-1.1821254,1.1429538
618,Survey,-0.5824889,2.392694
619,analysed,-0.9558114,2.5228124
620,taken,3.17164,6.300856
621,account,6.226148,3.509971
622,Bank's,-1.597533,0.20336011
623,supervisory,-0.28741887,0.38118276
624,work,7.9074454,-2.595835
625,planning,-0.2427648,-0.43653268
626,regulatory,9.124298,-1.0365151
627,"measures,",-0.19811057,1.3122007
628,prevent,8.348953,-3.468529
629,risks.,2.3024795,0.6310537
630,issued,-7.9406843,10.188124
631,enforcement,2.404024,-0.9169791
632,notice,-2.623464,3.5743442
633,Enforcement,-7.7007704,-1.7841041
634,Notice'),-6.424626,-1.1588655
635,monetary,-5.447225,0.10413194
636,penalty,-4.51958,4.9722137
637,Penalty,-4.5108013,2.8125465
638,Koypo,-3.2583268,6.074232
639,Laboratories,-2.5583453,-0.18758076
640,Limited,-3.7452817,0.13068792
641,instigating,-2.22326,-0.5201109
642,transmission,1.9329897,-0.9639069
643,"21,166,574",-1.182802,-0.51045984
644,unsolicited,0.6560879,-3.3238692
645,subscribers,1.6838081,-0.27745423
646,purposes,10.265275,-7.3359017
647,direct,7.694978,-2.7280426
648,marketing,10.461368,-0.32126933
649,1,-5.6540127,0.9456742
650,March,-1.2384304,-2.0282075
651,2017,-4.0040083,-6.2419357
652,31,-8.727377,-0.653853
653,2018,-4.989446,-7.700178
654,consent.,1.26862,-0.9324969
655,Notice,-2.7455225,6.899302
656,states,1.8074778,9.89985
657,relation,8.416023,-4.1793766
658,serious,3.2199228,-1.0779709
659,contravention,-1.1084219,-0.7527318
660,Regulation,-5.1399775,-11.358073
661,22,-9.111877,-2.4382198
662,Electronic,-4.664811,-9.782295
663,Communications,-4.953818,-8.7776375
664,(EC,-3.4030983,-2.3069086
665,Directive),-2.9000168,-1.4084418
666,Regulations,-3.7035651,-1.9699197
667,2003,-2.5317857,-2.5080004
668,('PECR').,-0.8497359,-0.026445797
669,reduced,0.27527684,4.0460787
670,"£80,000",-1.0733392,1.3483714
671,receives,-0.8199163,0.753439
672,full,-1.7331572,-0.48213533
673,payment,1.9427159,0.5868608
674,3,-8.020869,2.8497727
675,requires,0.7866887,5.4746256
676,"must,",-1.9947419,2.4527304
677,30,-5.4127674,-0.7977727
678,"Notice,",-3.8569534,-0.19553292
679,neither,-2.3469098,-1.7111545
680,"transmit,",-3.6877964,-0.57350177
681,nor,0.89540213,1.4086624
682,instigate,-2.3094711,-0.43254134
683,"of,",3.3502133,-2.3106987
684,means,2.835203,-2.109699
685,unless,-0.5617321,0.63607514
686,recipient,-1.423125,1.0118666
687,previously,3.5476785,5.0761695
688,he,-2.0326004,3.7760243
689,she,-1.7257915,1.5653566
690,clearly,3.058046,2.3257565
691,specially,0.50467926,-0.6401102
692,consents,0.74861693,-1.7715895
693,time,10.629366,1.8195093
694,being,14.1777935,-0.6724361
695,"by,",0.95002955,-0.24285622
696,at,9.298608,-3.0357225
697,instigation,-1.1951656,-0.17377147
698,Koypo.,-0.38701203,-0.14743513
699,OneTrust,-2.4232502,0.9289593
700,DataGuidance,-3.338883,0.28344902
701,"confirmed,",-1.9474903,0.29907525
702,French,-1.4754283,-3.9790294
703,('CNIL'),-2.1293578,0.9434846
704,TikTok,-2.2888308,1.1227984
705,complaint,-2.0970669,6.1772165
706,deletion,2.7720778,-0.561174
707,video.,-0.32854947,-0.5888832
708,CNIL,3.659032,5.165373
709,spokesperson,-3.4291532,5.986662
710,"said,",-2.1839745,3.9913888
711,"""To",-1.6220967,2.1314456
712,"date,",-0.30148643,1.7304152
713,continuing,-0.3577782,2.2495463
714,investigations,0.44611874,4.586774
715,participating,-0.46970853,0.4660268
716,European,0.480028,-18.710901
717,progress,-1.4361582,1.2958797
718,[...],-0.49625328,-0.20891455
719,At,-0.9103163,0.6103349
720,"stage,",1.3112758,1.2554817
721,main,2.1291106,2.1778247
722,points,-0.46903875,1.4217982
723,attention,-0.4457587,1.2326858
724,also,14.787401,5.095143
725,way,7.732005,2.7154498
726,"exercised,",-0.9793619,-0.2566031
727,flows,3.5726657,-2.759562
728,outside,3.0923414,-3.2993762
729,"EU,",-1.7380073,-1.4577389
730,measures,10.858142,-0.77357054
731,regard,1.7933074,-2.345571
732,"minors,",-0.37504795,0.19676219
733,whom,-0.33165592,0.6462291
734,application,1.6733608,-0.65435725
735,very,-0.16848269,0.7634121
736,"popular.""",-1.1616008,1.1851543
737,"noted,",-1.2000309,2.3431392
738,"""After",-1.8265076,1.8624301
739,complainant,-0.2554907,0.65563303
740,invited,-0.5773185,0.07787316
741,exercise,2.4861908,-1.901562
742,General,-2.0133398,-17.812893
743,(Regulation,-4.761387,-6.5239334
744,(EU),-5.2925525,-4.0887127
745,2016/679),-6.2197866,-0.37641454
746,"('GDPR'),",-1.1332544,2.8483536
747,step,-0.7355281,6.0234265
748,they,14.384432,8.606478
749,"beforehand.""",-1.1114668,1.6669443
750,"Lastly,",1.1449169,3.483594
751,"highlighted,",-1.098836,3.0176747
752,"""The",-1.3879025,1.3070481
753,eventually,-2.0771406,0.19998251
754,sole,-0.9528158,-2.7913702
755,responsibility,0.2842809,-4.6669207
756,Irish,-1.7854418,-4.2280874
757,[Data,-1.6234632,-3.1452596
758,Commission,-8.153469,-2.0545402
759,"('DPC')],",-0.6832946,-0.9646265
760,deal,4.942949,1.8436346
761,case,3.4826567,-2.439138
762,cooperation,-1.172698,-0.8832417
763,authorities.,0.83606565,-0.528313
764,order,11.6418705,-6.312555
765,competence,-0.9471258,-0.82262063
766,[DPC],-1.4339608,-1.4733866
767,each,2.6213312,0.5085364
768,"authorities,",1.8122139,0.5528371
